,Date Created,Number of Likes,Tweets
90,2022-10-15 05:27:22+00:00,0,"Boleh gak AREMANIA hadir , ikut membantu lempar gas air mata ? Bapak2 gantian duduk penuhi semua area tribun ? 😁

https://t.co/OscP7P2nuJ

Polri bakal menggelar rekonstruksi terkait tragedi Kanjuruhan pada Kamis pekan depan. Polisi bakal mencari tahu arah tembakan gas air mata."
91,2022-10-15 05:25:50+00:00,0,"Soal tragedi di Kanjuruhan,itu murni kesalahan bersama sih.ya dari penyelenggara nya,tv nya, polisi sampai penonton nya.semua punya andil yg sama.
Mengganti ketua PSSI juga tidak akan menyelesaikan masalah.menurut aku sih begitu ya 🙏"
92,2022-10-15 05:23:35+00:00,0,"Perkuat Bukti Kasus Kanjuruhan, Polisi akan Gali Makam Dua Korban https://t.co/RcMu5yqy1x"
93,2022-10-15 05:22:48+00:00,0,"Terlepas 
- Lesti Kejora memaafkan Rizky Billar yang sudah sempat ditangkap polisi; dan 
- Pak Teddy Minahasa yang tersangkut kasus narkoba; dan
- Pemanggilan/mutasi kepala polisi di istana presiden

Yang bisa follow up rekomendasi TGIPF itu nanti siapa ya terkait kanjuruhan?"
94,2022-10-15 05:19:04+00:00,2,"@BudiObeng57 @maguire___ @Remy6810 @03__nakula Yg ditanya kalau suporter Aremania gak turun ke lapangan, apakah kejadian Kanjuruhan terjadi? 
Udah itu aja. Pertanyaan itu tdk multitafsir, kecuali tafsir Anda pokoknya kejadian di Kanjuruhan hanya Polisi yg hrs bertanggung jawab.."
95,2022-10-15 05:18:02+00:00,0,@MasSuga6 @jokowi CITTRA POLRI SANGAT JELEK DI ERA REZIM JOKOWI BUNUH MEMBUNUH SESAMA POLISI KAPOLDA JADI BANDAR NARKOBA POLISI MEMBUNUH RAKYAT KECIL DI STADION KANJURUHAN PAKAI GAS AIR MATA  SEMOGA REZIM JOKOWI REZIM OLIGARKI CEPAT TUMBANG
96,2022-10-15 05:13:13+00:00,1,"Rabu Pekan Depan, Polisi Gali Kubur Dua Korban Tragedi Kanjuruhan https://t.co/RXycWp9q7E"
97,2022-10-15 05:04:14+00:00,0,Hahaha kocak 🤣😂 korban tragedi Kanjuruhan itu ada 2 polisi juga loh yg mati. https://t.co/rx2YIwyXLB
98,2022-10-15 04:54:06+00:00,0,"Polisi rezim neo PKI. Kejam &amp; sadis tanpa merasa bersalah. Km 50, kasus di bawaslu, kanjuruhan, DLL. Karena sering makan haram, konsumsi narkoba, sudah cuci otak di negara komunis china.

60 Calon Jenderal Kuliah Kerja Nyata Di China! https://t.co/JM9Jyey0dP"
99,2022-10-15 04:50:13+00:00,0,"@mohmahfudmd Tragedi Kanjuruhan adalah trargedi kemanusiaan yg sangat luar biasa.ada bbrapa hal yg perlu di investigasi mendalam  diantaranya adalah :
1.jadwal pertandingan
   Yg sebelumnya dijadwalkan sore 
    Hari beralih ke malam hari
2.pelaku rusuh(suporter)
3.keamanan (polisi dan TNI )"
100,2022-10-15 04:43:49+00:00,0,"Polisi &amp; TNI pake Alphard, istri pake tas bermerek, di jalan plat RF sombong 👎

Katanya gaji kecil tapi gaya hidup melebihi pengusaha. 

Pengusaha jadi kaya ya wajar. Polisi dan TNI usaha apa? Kan ga boleh usaha! 

Mereka bisanya nindas rakyat. Salah satu bukti : KANJURUHAN! https://t.co/ko0B15ouel"
101,2022-10-15 04:35:37+00:00,2,"Kehilangan dua putrinya dalam tragedi Kanjuruhan, seorang ayah mendesak polisi untuk mengotopsi keduanya. Ia ingin buktikan kondisi tidak wajar kedua putrinya, menyusul pernyataan polisi bahwa gas air mata tidak mematikan. #IndosiarBerita 

Berita lainnya: https://t.co/wddAYjGQqE https://t.co/Y5N1eO5EkE"
102,2022-10-15 04:34:53+00:00,1,"Dulu kecil tiap orang tanya cita cita, pasti gue jawab jadi Polisi. Nyokap bilang suruh cari cita cita yang lain, kata dia kepolisian Indonesia adalah salah satu tempat 'Kotor'.
di 2022 ini akhirnya gue ngerti maksud nyokap. Mulai dari Sambo, Kanjuruhan, sampe kapolda tolol."
103,2022-10-15 04:21:12+00:00,0,Sambo. Kanjuruhan. Teddy. Kumpul di Istana. Polisi dominasi pemberitaan media. Keren! https://t.co/wCHaBaIVbs
104,2022-10-15 04:21:10+00:00,1,"Beda dg sikap AH yg Tegar Bertanggungjawab,

Kenapa PSSI dan Polisi Masih Cuci Tangan di Tragedi Kanjuruhan? https://t.co/Du2OXDAk0P"
105,2022-10-15 04:19:19+00:00,0,"Nisa, Saguanto hingga Febi Jadi Korban Hidup, Polisi Masih Klaim Tragedi Kanjuruhan Bukan karena Gas Air Mata? https://t.co/YCsa9sGBAH"
